club_name,club_key
AFC Bournemouth,afc bournemouth
Arsenal,arsenal
Aston Villa,aston villa
Bournemouth,bournemouth
Brentford,brentford
Brighton & Hove Albion,brighton hove albion
Burnley,burnley
Chelsea,chelsea
Crystal Palace,crystal palace
Everton,everton
Fulham,fulham
Liverpool,liverpool
Luton Town,luton town
Manchester City,manchester city
Manchester United,manchester united
Newcastle United,newcastle united
Nottingham Forest,nottingham forest
Sheffield United,sheffield united
Tottenham,tottenham
Tottenham Hotspur,tottenham hotspur
West Ham United,west ham united
Wolverhampton Wanderers,wolverhampton wanderers
Wovlerhampton Wanderers,wovlerhampton wanderers
